Step      Time, msec          Direction      Init Position  Next Position  
130       12901               RIGHT          (370,310)      (382,310)      
131       13001               RIGHT          (382,310)      (394,310)      
132       13101               LEFT           (394,310)      (382,310)      
133       13201               DOWN           (382,310)      (382,322)      
134       13301               UP             (382,322)      (382,310)      
135       13401               RIGHT          (382,310)      (394,310)      
136       13501               UP             (394,310)      (394,298)      
137       13601               DOWN           (394,298)      (394,310)      
138       13701               RIGHT          (394,310)      (406,310)      
139       13801               DOWN           (406,310)      (406,322)      
140       13901               DOWN           (406,322)      (406,334)      
141       14001               RIGHT          (406,334)      (418,334)      
142       14101               UP             (418,334)      (418,322)      
143       14201               RIGHT          (418,322)      (430,322)      
144       14301               DOWN           (430,322)      (430,334)      
145       14401               RIGHT          (430,334)      (442,334)      
146       14501               UP             (442,334)      (442,322)      
147       14601               DOWN           (442,322)      (442,334)      
148       14701               UP             (442,334)      (442,322)      
149       14801               RIGHT          (442,322)      (454,322)      
150       14901               UP             (454,322)      (454,310)      
151       15001               UP             (454,310)      (454,298)      
152       15101               UP             (454,298)      (454,286)      
153       15201               DOWN           (454,286)      (454,298)      
154       15301               RIGHT          (454,298)      (466,298)      
155       15401               DOWN           (466,298)      (466,310)      
156       15501               RIGHT          (466,310)      (478,310)      
157       15601               RIGHT          (478,310)      (490,310)      
158       15701               DOWN           (478,310)      (478,322)      
159       15801               DOWN           (478,322)      (478,334)      
160       15901               DOWN           (478,334)      (478,346)      
161       16001               RIGHT          (478,346)      (490,346)      
162       16101               DOWN           (478,346)      (478,358)      
163       16201               LEFT           (478,358)      (466,358)      
164       16301               LEFT           (466,358)      (454,358)      
165       16401               UP             (454,358)      (454,346)      
166       16501               DOWN           (454,346)      (454,358)      
167       16601               RIGHT          (454,358)      (466,358)      
168       16701               UP             (466,358)      (466,346)      
169       16801               LEFT           (466,346)      (454,346)      
170       16901               RIGHT          (454,346)      (466,346)      
171       17001               RIGHT          (466,346)      (478,346)      
172       17101               RIGHT          (478,346)      (490,346)      
173       17201               DOWN           (478,346)      (478,358)      
174       17301               UP             (478,358)      (478,346)      
175       17401               RIGHT          (478,346)      (490,346)      
176       17501               LEFT           (478,346)      (466,346)      
177       17601               UP             (466,346)      (466,334)      
178       17701               UP             (466,334)      (466,322)      
179       17801               DOWN           (466,322)      (466,334)      
180       17901               RIGHT          (466,334)      (478,334)      
181       18001               RIGHT          (478,334)      (490,334)      
182       18101               LEFT           (478,334)      (466,334)      
183       18201               LEFT           (466,334)      (454,334)      
184       18301               RIGHT          (454,334)      (466,334)      
185       18401               UP             (466,334)      (466,322)      
186       18501               DOWN           (466,322)      (466,334)      
187       18601               DOWN           (466,334)      (466,346)      
188       18701               DOWN           (466,346)      (466,358)      
189       18801               DOWN           (466,358)      (466,370)      
190       18901               LEFT           (466,370)      (454,370)      
191       19001               UP             (454,370)      (454,358)      
192       19101               DOWN           (454,358)      (454,370)      
193       19201               DOWN           (454,370)      (454,382)      
194       19301               DOWN           (454,382)      (454,394)      
195       19401               DOWN           (454,394)      (454,406)      
196       19501               UP             (454,406)      (454,394)      
197       19601               LEFT           (454,394)      (442,394)      
198       19701               LEFT           (442,394)      (430,394)      
199       19801               UP             (430,394)      (430,382)      
200       19901               RIGHT          (430,382)      (442,382)      
201       20001               RIGHT          (442,382)      (454,382)      
202       20101               RIGHT          (454,382)      (466,382)      
203       20201               DOWN           (466,382)      (466,394)      
204       20301               DOWN           (466,394)      (466,406)      
205       20401               DOWN           (466,406)      (466,418)      
206       20501               UP             (466,418)      (466,406)      
207       20601               LEFT           (466,406)      (454,406)      
208       20701               UP             (454,406)      (454,394)      
209       20801               UP             (454,394)      (454,382)      
210       20901               DOWN           (454,382)      (454,394)      
211       21001               UP             (454,394)      (454,382)      
212       21101               DOWN           (454,382)      (454,394)      
213       21201               LEFT           (454,394)      (442,394)      
214       21301               UP             (442,394)      (442,382)      
215       21401               DOWN           (442,382)      (442,394)      
216       21501               UP             (442,394)      (442,382)      
217       21601               DOWN           (442,382)      (442,394)      
218       21701               LEFT           (442,394)      (430,394)      
219       21801               RIGHT          (430,394)      (442,394)      
220       21901               DOWN           (442,394)      (442,406)      
221       22001               UP             (442,406)      (442,394)      
222       22101               RIGHT          (442,394)      (454,394)      
223       22201               RIGHT          (454,394)      (466,394)      
224       22301               LEFT           (466,394)      (454,394)      
225       22401               UP             (454,394)      (454,382)      
226       22501               LEFT           (454,382)      (442,382)      
227       22601               UP             (442,382)      (442,370)      
228       22701               UP             (442,370)      (442,358)      
229       22801               DOWN           (442,358)      (442,370)      
230       22901               LEFT           (442,370)      (430,370)      
231       23001               RIGHT          (430,370)      (442,370)      
232       23101               UP             (442,370)      (442,358)      
233       23201               RIGHT          (442,358)      (454,358)      
234       23301               DOWN           (454,358)      (454,370)      
235       23401               UP             (454,370)      (454,358)      
236       23501               LEFT           (454,358)      (442,358)      
237       23601               UP             (442,358)      (442,346)      
238       23701               RIGHT          (442,346)      (454,346)      
239       23801               RIGHT          (454,346)      (466,346)      
240       23901               UP             (466,346)      (466,334)      
241       24001               UP             (466,334)      (466,322)      
242       24101               DOWN           (466,322)      (466,334)      
243       24201               DOWN           (466,334)      (466,346)      
244       24301               UP             (466,346)      (466,334)      
245       24401               RIGHT          (466,334)      (478,334)      
246       24501               RIGHT          (478,334)      (490,334)      
247       24601               LEFT           (478,334)      (466,334)      
248       24701               LEFT           (466,334)      (454,334)      
249       24801               UP             (454,334)      (454,322)      
250       24901               DOWN           (454,322)      (454,334)      
251       25001               DOWN           (454,334)      (454,346)      
252       25101               LEFT           (454,346)      (442,346)      
253       25201               RIGHT          (442,346)      (454,346)      
254       25301               LEFT           (454,346)      (442,346)      
255       25401               RIGHT          (442,346)      (454,346)      
256       25501               DOWN           (454,346)      (454,358)      
257       25601               UP             (454,358)      (454,346)      
258       25701               UP             (454,346)      (454,334)      
259       25801               LEFT           (454,334)      (442,334)      
260       25901               LEFT           (442,334)      (430,334)      
261       26002               DOWN           (430,334)      (430,346)      
262       26101               RIGHT          (430,346)      (442,346)      
263       26201               UP             (442,346)      (442,334)      
264       26301               LEFT           (442,334)      (430,334)      
265       26401               RIGHT          (430,334)      (442,334)      
266       26501               RIGHT          (442,334)      (454,334)      
267       26601               LEFT           (454,334)      (442,334)      
268       26701               LEFT           (442,334)      (430,334)      
269       26801               LEFT           (430,334)      (418,334)      
270       26901               UP             (418,334)      (418,322)      
271       27001               UP             (418,322)      (418,310)      
272       27101               UP             (418,310)      (418,298)      
273       27201               UP             (418,298)      (418,286)      
274       27301               UP             (418,286)      (418,274)      
275       27401               UP             (418,274)      (418,262)      
276       27501               DOWN           (418,262)      (418,274)      
277       27601               DOWN           (418,274)      (418,286)      
278       27701               DOWN           (418,286)      (418,298)      
279       27801               UP             (418,298)      (418,286)      
280       27901               RIGHT          (418,286)      (430,286)      
281       28002               LEFT           (430,286)      (418,286)      
282       28101               RIGHT          (418,286)      (430,286)      
283       28201               RIGHT          (430,286)      (442,286)      
284       28301               DOWN           (442,286)      (442,298)      
285       28401               LEFT           (442,298)      (430,298)      
286       28501               UP             (430,298)      (430,286)      
287       28601               DOWN           (430,286)      (430,298)      
288       28701               DOWN           (430,298)      (430,310)      
289       28801               RIGHT          (430,310)      (442,310)      
290       28901               DOWN           (442,310)      (442,322)      
291       29002               RIGHT          (442,322)      (454,322)      
292       29101               LEFT           (454,322)      (442,322)      
293       29201               DOWN           (442,322)      (442,334)      
294       29301               DOWN           (442,334)      (442,346)      
295       29401               LEFT           (442,346)      (430,346)      
296       29501               RIGHT          (430,346)      (442,346)      
297       29601               UP             (442,346)      (442,334)      
298       29701               LEFT           (442,334)      (430,334)      
299       29801               DOWN           (430,334)      (430,346)      
300       29901               LEFT           (430,346)      (418,346)      
301       30002               LEFT           (418,346)      (406,346)      
302       30101               DOWN           (406,346)      (406,358)      
303       30201               LEFT           (406,358)      (394,358)      
304       30301               RIGHT          (394,358)      (406,358)      
305       30401               DOWN           (406,358)      (406,370)      
306       30501               LEFT           (406,370)      (394,370)      
307       30601               RIGHT          (394,370)      (406,370)      
308       30701               RIGHT          (406,370)      (418,370)      
309       30801               RIGHT          (418,370)      (430,370)      
310       30901               UP             (430,370)      (430,358)      
311       31002               DOWN           (430,358)      (430,370)      
312       31101               DOWN           (430,370)      (430,382)      
313       31201               UP             (430,382)      (430,370)      
314       31301               DOWN           (430,370)      (430,382)      
315       31401               RIGHT          (430,382)      (442,382)      
316       31501               UP             (442,382)      (442,370)      
317       31601               DOWN           (442,370)      (442,382)      
318       31701               RIGHT          (442,382)      (454,382)      
319       31801               DOWN           (454,382)      (454,394)      
320       31902               UP             (454,394)      (454,382)      
321       32002               DOWN           (454,382)      (454,394)      
322       32101               RIGHT          (454,394)      (466,394)      
323       32201               RIGHT          (466,394)      (478,394)      
324       32301               RIGHT          (478,394)      (490,394)      
325       32402               UP             (478,394)      (478,382)      
326       32502               DOWN           (478,382)      (478,394)      
327       32601               LEFT           (478,394)      (466,394)      
328       32701               DOWN           (466,394)      (466,406)      
329       32801               UP             (466,406)      (466,394)      
330       32901               RIGHT          (466,394)      (478,394)      
331       33002               UP             (478,394)      (478,382)      
332       33102               RIGHT          (478,382)      (490,382)      
333       33201               DOWN           (478,382)      (478,394)      
334       33302               RIGHT          (478,394)      (490,394)      
335       33402               LEFT           (478,394)      (466,394)      
336       33501               LEFT           (466,394)      (454,394)      
337       33602               DOWN           (454,394)      (454,406)      
338       33702               DOWN           (454,406)      (454,418)      
339       33802               UP             (454,418)      (454,406)      
340       33902               DOWN           (454,406)      (454,418)      
341       34002               LEFT           (454,418)      (442,418)      
342       34101               UP             (442,418)      (442,406)      
343       34201               UP             (442,406)      (442,394)      
344       34301               LEFT           (442,394)      (430,394)      
345       34401               DOWN           (430,394)      (430,406)      
346       34502               DOWN           (430,406)      (430,418)      
347       34602               RIGHT          (430,418)      (442,418)      
348       34702               UP             (442,418)      (442,406)      
349       34802               UP             (442,406)      (442,394)      
350       34902               RIGHT          (442,394)      (454,394)      
351       35002               DOWN           (454,394)      (454,406)      
352       35102               RIGHT          (454,406)      (466,406)      
353       35202               LEFT           (466,406)      (454,406)      
354       35302               LEFT           (454,406)      (442,406)      
355       35402               RIGHT          (442,406)      (454,406)      
356       35502               RIGHT          (454,406)      (466,406)      
357       35602               LEFT           (466,406)      (454,406)      
358       35702               LEFT           (454,406)      (442,406)      
359       35802               LEFT           (442,406)      (430,406)      
360       35902               DOWN           (430,406)      (430,418)      
361       36002               DOWN           (430,418)      (430,430)      
362       36102               LEFT           (430,430)      (418,430)      
363       36202               DOWN           (418,430)      (418,442)      
364       36302               UP             (418,442)      (418,430)      
365       36402               RIGHT          (418,430)      (430,430)      
366       36502               UP             (430,430)      (430,418)      
367       36602               UP             (430,418)      (430,406)      
368       36702               UP             (430,406)      (430,394)      
369       36802               RIGHT          (430,394)      (442,394)      
370       36902               RIGHT          (442,394)      (454,394)      
371       37002               RIGHT          (454,394)      (466,394)      
372       37102               UP             (466,394)      (466,382)      
373       37202               UP             (466,382)      (466,370)      
374       37302               RIGHT          (466,370)      (478,370)      
375       37402               DOWN           (478,370)      (478,382)      
376       37502               RIGHT          (478,382)      (490,382)      
377       37602               UP             (478,382)      (478,370)      
378       37702               RIGHT          (478,370)      (490,370)      
379       37802               RIGHT          (478,370)      (490,370)      
380       37902               LEFT           (478,370)      (466,370)      
381       38002               LEFT           (466,370)      (454,370)      
382       38102               UP             (454,370)      (454,358)      
383       38202               LEFT           (454,358)      (442,358)      
384       38302               UP             (442,358)      (442,346)      
385       38402               RIGHT          (442,346)      (454,346)      
386       38502               LEFT           (454,346)      (442,346)      
387       38602               LEFT           (442,346)      (430,346)      
388       38702               UP             (430,346)      (430,334)      
389       38802               LEFT           (430,334)      (418,334)      
390       38902               UP             (418,334)      (418,322)      
391       39002               UP             (418,322)      (418,310)      
392       39102               LEFT           (418,310)      (406,310)      
393       39202               DOWN           (406,310)      (406,322)      
394       39302               DOWN           (406,322)      (406,334)      
395       39402               UP             (406,334)      (406,322)      
396       39502               DOWN           (406,322)      (406,334)      
397       39602               UP             (406,334)      (406,322)      
398       39702               RIGHT          (406,322)      (418,322)      
399       39802               DOWN           (418,322)      (418,334)      
400       39902               UP             (418,334)      (418,322)      
401       40002               RIGHT          (418,322)      (430,322)      
402       40102               LEFT           (430,322)      (418,322)      
403       40202               UP             (418,322)      (418,310)      
404       40302               DOWN           (418,310)      (418,322)      
405       40402               UP             (418,322)      (418,310)      
406       40502               LEFT           (418,310)      (406,310)      
407       40602               RIGHT          (406,310)      (418,310)      
408       40702               RIGHT          (418,310)      (430,310)      
409       40802               DOWN           (430,310)      (430,322)      
410       40902               UP             (430,322)      (430,310)      
411       41002               DOWN           (430,310)      (430,322)      
412       41102               LEFT           (430,322)      (418,322)      
413       41202               RIGHT          (418,322)      (430,322)      
414       41302               UP             (430,322)      (430,310)      
415       41402               RIGHT          (430,310)      (442,310)      
416       41502               DOWN           (442,310)      (442,322)      
417       41602               LEFT           (442,322)      (430,322)      
418       41702               RIGHT          (430,322)      (442,322)      
419       41802               RIGHT          (442,322)      (454,322)      
420       41902               LEFT           (454,322)      (442,322)      
421       42002               RIGHT          (442,322)      (454,322)      
422       42102               LEFT           (454,322)      (442,322)      
423       42202               UP             (442,322)      (442,310)      
424       42302               DOWN           (442,310)      (442,322)      
425       42402               RIGHT          (442,322)      (454,322)      
426       42502               LEFT           (454,322)      (442,322)      
427       42602               UP             (442,322)      (442,310)      
428       42702               LEFT           (442,310)      (430,310)      
429       42802               LEFT           (430,310)      (418,310)      
430       42902               RIGHT          (418,310)      (430,310)      
431       43002               RIGHT          (430,310)      (442,310)      
432       43102               LEFT           (442,310)      (430,310)      
433       43202               LEFT           (430,310)      (418,310)      
434       43302               LEFT           (418,310)      (406,310)      
435       43402               DOWN           (406,310)      (406,322)      
436       43502               RIGHT          (406,322)      (418,322)      
437       43602               UP             (418,322)      (418,310)      
438       43702               LEFT           (418,310)      (406,310)      
439       43802               DOWN           (406,310)      (406,322)      
440       43902               UP             (406,322)      (406,310)      
441       44002               LEFT           (406,310)      (394,310)      
442       44102               DOWN           (394,310)      (394,322)      
443       44202               DOWN           (394,322)      (394,334)      
444       44302               DOWN           (394,334)      (394,346)      
445       44402               DOWN           (394,346)      (394,358)      
446       44502               UP             (394,358)      (394,346)      
447       44602               RIGHT          (394,346)      (406,346)      
448       44702               UP             (406,346)      (406,334)      
449       44802               LEFT           (406,334)      (394,334)      
450       44902               LEFT           (394,334)      (382,334)      
451       45002               LEFT           (382,334)      (370,334)      
452       45102               LEFT           (370,334)      (358,334)      
453       45202               LEFT           (358,334)      (346,334)      
454       45302               LEFT           (346,334)      (334,334)      
455       45402               UP             (334,334)      (334,322)      
456       45502               DOWN           (334,322)      (334,334)      
457       45602               LEFT           (334,334)      (322,334)      
458       45702               RIGHT          (322,334)      (334,334)      
459       45802               DOWN           (334,334)      (334,346)      
460       45902               LEFT           (334,346)      (322,346)      
461       46002               RIGHT          (322,346)      (334,346)      
462       46102               DOWN           (334,346)      (334,358)      
463       46202               RIGHT          (334,358)      (346,358)      
464       46302               DOWN           (346,358)      (346,370)      
465       46402               LEFT           (346,370)      (334,370)      
466       46502               DOWN           (334,370)      (334,382)      
467       46602               UP             (334,382)      (334,370)      
468       46702               RIGHT          (334,370)      (346,370)      
469       46802               DOWN           (346,370)      (346,382)      
470       46902               DOWN           (346,382)      (346,394)      
471       47002               LEFT           (346,394)      (334,394)      
472       47102               UP             (334,394)      (334,382)      
473       47202               LEFT           (334,382)      (322,382)      
474       47302               UP             (322,382)      (322,370)      
475       47402               UP             (322,370)      (322,358)      
476       47502               UP             (322,358)      (322,346)      
477       47602               UP             (322,346)      (322,334)      
478       47702               UP             (322,334)      (322,322)      
479       47802               LEFT           (322,322)      (310,322)      
480       47902               RIGHT          (310,322)      (322,322)      
481       48002               RIGHT          (322,322)      (334,322)      
482       48102               DOWN           (334,322)      (334,334)      
483       48202               RIGHT          (334,334)      (346,334)      
484       48302               RIGHT          (346,334)      (358,334)      
485       48402               UP             (358,334)      (358,322)      
486       48502               DOWN           (358,322)      (358,334)      
487       48602               UP             (358,334)      (358,322)      
488       48702               RIGHT          (358,322)      (370,322)      
489       48802               DOWN           (370,322)      (370,334)      
490       48902               LEFT           (370,334)      (358,334)      
491       49002               LEFT           (358,334)      (346,334)      
492       49102               UP             (346,334)      (346,322)      
493       49202               UP             (346,322)      (346,310)      
494       49302               RIGHT          (346,310)      (358,310)      
495       49402               DOWN           (358,310)      (358,322)      
496       49502               LEFT           (358,322)      (346,322)      
497       49602               RIGHT          (346,322)      (358,322)      
498       49702               RIGHT          (358,322)      (370,322)      
499       49802               DOWN           (370,322)      (370,334)      
500       49903               DOWN           (370,334)      (370,346)      
501       50002               DOWN           (370,346)      (370,358)      
502       50102               UP             (370,358)      (370,346)      
503       50202               RIGHT          (370,346)      (382,346)      
504       50302               RIGHT          (382,346)      (394,346)      
505       50402               LEFT           (394,346)      (382,346)      
506       50502               DOWN           (382,346)      (382,358)      
507       50602               UP             (382,358)      (382,346)      
508       50702               RIGHT          (382,346)      (394,346)      
509       50802               DOWN           (394,346)      (394,358)      
510       50902               UP             (394,358)      (394,346)      
511       51002               RIGHT          (394,346)      (406,346)      
512       51102               UP             (406,346)      (406,334)      
513       51202               LEFT           (406,334)      (394,334)      
514       51302               LEFT           (394,334)      (382,334)      
515       51402               UP             (382,334)      (382,322)      
516       51502               LEFT           (382,322)      (370,322)      
517       51602               LEFT           (370,322)      (358,322)      
518       51702               LEFT           (358,322)      (346,322)      
519       51802               LEFT           (346,322)      (334,322)      
520       51902               RIGHT          (334,322)      (346,322)      
521       52002               DOWN           (346,322)      (346,334)      
522       52102               UP             (346,334)      (346,322)      
523       52202               LEFT           (346,322)      (334,322)      
524       52302               UP             (334,322)      (334,310)      
525       52402               RIGHT          (334,310)      (346,310)      
526       52502               DOWN           (346,310)      (346,322)      
527       52602               RIGHT          (346,322)      (358,322)      
528       52702               DOWN           (358,322)      (358,334)      
529       52802               LEFT           (358,334)      (346,334)      
530       52903               LEFT           (346,334)      (334,334)      
531       53002               UP             (334,334)      (334,322)      
532       53102               UP             (334,322)      (334,310)      
533       53202               LEFT           (334,310)      (322,310)      
534       53302               RIGHT          (322,310)      (334,310)      
535       53402               DOWN           (334,310)      (334,322)      
536       53502               UP             (334,322)      (334,310)      
537       53602               LEFT           (334,310)      (322,310)      
538       53702               LEFT           (322,310)      (310,310)      
539       53802               LEFT           (310,310)      (298,310)      
540       53903               LEFT           (298,310)      (286,310)      
541       54002               LEFT           (286,310)      (274,310)      
542       54102               DOWN           (274,310)      (274,322)      
543       54202               UP             (274,322)      (274,310)      
544       54302               LEFT           (274,310)      (262,310)      
545       54402               DOWN           (262,310)      (262,322)      
546       54502               DOWN           (262,322)      (262,334)      
547       54602               UP             (262,334)      (262,322)      
548       54702               LEFT           (262,322)      (250,322)      
549       54802               DOWN           (250,322)      (250,334)      
550       54903               LEFT           (250,334)      (238,334)      
551       55003               RIGHT          (238,334)      (250,334)      
552       55102               UP             (250,334)      (250,322)      
553       55202               DOWN           (250,322)      (250,334)      
554       55302               DOWN           (250,334)      (250,346)      
555       55402               LEFT           (250,346)      (238,346)      
556       55502               LEFT           (238,346)      (226,346)      
557       55602               LEFT           (226,346)      (214,346)      
558       55702               LEFT           (214,346)      (202,346)      
559       55803               LEFT           (202,346)      (190,346)      
560       55903               UP             (190,346)      (190,334)      
561       56002               LEFT           (190,334)      (178,334)      
562       56103               UP             (178,334)      (178,322)      
563       56203               DOWN           (178,322)      (178,334)      
564       56303               DOWN           (178,334)      (178,346)      
565       56403               RIGHT          (178,346)      (190,346)      
566       56502               UP             (190,346)      (190,334)      
567       56603               UP             (190,334)      (190,322)      
568       56703               UP             (190,322)      (190,310)      
569       56802               LEFT           (190,310)      (178,310)      
570       56903               RIGHT          (178,310)      (190,310)      
571       57002               UP             (190,310)      (190,298)      
572       57103               UP             (190,298)      (190,286)      
573       57203               UP             (190,286)      (190,274)      
574       57303               LEFT           (190,274)      (178,274)      
575       57403               RIGHT          (178,274)      (190,274)      
576       57503               UP             (190,274)      (190,262)      
577       57602               LEFT           (190,262)      (178,262)      
578       57703               RIGHT          (178,262)      (190,262)      
579       57803               LEFT           (190,262)      (178,262)      
580       57903               LEFT           (178,262)      (166,262)      
581       58003               LEFT           (166,262)      (154,262)      
582       58103               DOWN           (154,262)      (154,274)      
583       58203               RIGHT          (154,274)      (166,274)      
584       58303               UP             (166,274)      (166,262)      
